ID_Evento,ID_Fornecedor_DJ,ID_Fornecedor_Buffet,Comentario_Cliente
101,DJ_A,Buffet_X,"A pista de dança bombou a noite toda, o DJ A é sensacional! O buffet X também estava delicioso, todos elogiaram."
102,DJ_B,Buffet_Y,"A comida do buffet Y estava fria e demorou a ser servida. Pelo menos o DJ B animou a galera com um set legal."
103,DJ_A,Buffet_X,"Segunda vez com o DJ A e ele nunca decepciona. A música foi o ponto alto da festa. Buffet X impecável."
104,DJ_C,Buffet_X,"O DJ C parecia não entender o público, a pista ficou vazia. A comida do buffet X, como sempre, ótima."
105,DJ_B,Buffet_Y,"Adoramos o serviço do buffet Y, muito atenciosos. A música do DJ B estava boa, mas um pouco repetitiva."
106,DJ_A,Buffet_Z,"Buffet Z foi uma surpresa maravilhosa, todos amaram o coquetel. Já o DJ A parece que tocou o mesmo set da outra festa, foi meio chato."
107,DJ_C,Buffet_X,"Tivemos um problema sério com o DJ C, que chegou atrasado. Sorte que o Buffet X salvou a noite com um atendimento incrível."
108,DJ_A,Buffet_Z,"O DJ A foi o melhor! Mas o buffet Z deixou a desejar na variedade de salgados. Eram bons, mas poucos."
109,DJ_B,Buffet_Y,"Tudo perfeito, buffet Y impecável e o som do DJ B na medida certa. Superou nossas expectativas!"
110,DJ_C,Buffet_Z,"O buffet Z foi bom, mas o DJ C realmente estragou a festa com escolhas musicais ruins. Tive que pedir pra trocar."
111,DJ_A,Buffet_X,"O atendimento dos garçons do Buffet X foi perfeito. O DJ A também mandou bem, pista cheia."
112,DJ_B,Buffet_Y,"Buffet Y demorou demais. O DJ B foi ok, mas nada de mais. Festa mediana."
113,DJ_A,Buffet_X,"Perfeição! O DJ A entendeu o público e o Buffet X serviu drinks maravilhosos. Recomendo!"
114,DJ_C,Buffet_Y,"Desastre. O DJ C só tocava música antiga, e o Buffet Y serviu comida trocada. Não recomendo."
115,DJ_B,Buffet_Z,"Gostei muito do Buffet Z, o custo-benefício é ótimo. O DJ B foi simpático e atendeu nossos pedidos."
116,DJ_A,Buffet_X,"Não tenho do que reclamar. DJ A manteve todos dançando e o Buffet X serviu comida quente a noite toda."
117,DJ_A,Buffet_Y,"O DJ A foi ótimo, como sempre. Já o Buffet Y... a equipe foi grossa e a comida acabou antes da hora."
118,DJ_B,Buffet_X,"O Buffet X é de outro nível, vale cada centavo. O DJ B foi bom, mas podia ter animado mais."
119,DJ_C,Buffet_Z,"O DJ C é péssimo, não contratem. O Buffet Z foi ok, os salgados são gostosos, mas a janta deixou a desejar."
120,DJ_A,Buffet_X,"Festa incrível! O DJ A e a equipe do Buffet X estão de parabéns. Tudo 100%."
121,DJ_B,Buffet_Y,"O DJ B foi bem esquecível. O Buffet Y teve um problema com a bebida, que estava quente."
122,DJ_A,Buffet_Z,"O Buffet Z tem uma ilha de massas maravilhosa. O DJ A foi muito bom, tocou de tudo."
123,DJ_C,Buffet_X,"Buffet X foi perfeito, mas o DJ C quase arruinou a noite. Ele não sabia mixar as músicas."
